
Course Index,SWEBOK Areas,SWEBOK Scores
56,Construction; Testing,"{""Construction"": 1.0, ""Testing"": 0.3333333333333333}"
57,Construction; Design; Testing; Professional Practice/Ethics,"{""Construction"": 1.0, ""Design"": 0.3333333333333333, ""Testing"": 0.3333333333333333, ""Professional Practice/Ethics"": 0.3333333333333333}"
58,Design; Construction,"{""Design"": 1.0, ""Construction"": 1.0}"
59,Construction; Design; Process,"{""Construction"": 0.3333333333333333, ""Design"": 0.16666666666666666, ""Process"": 0.16666666666666666}"
60,Construction; Foundations; Models & Methods,"{""Construction"": 1.0, ""Foundations"": 0.25, ""Models & Methods"": 0.5}"
61,Requirements; Models & Methods; Construction; Design,"{""Requirements"": 0.25, ""Models & Methods"": 0.75, ""Construction"": 0.5, ""Design"": 0.25}"
62,Design; Construction; Process,"{""Design"": 0.6666666666666666, ""Construction"": 0.6666666666666666, ""Process"": 0.3333333333333333}"
63,Construction; Economics; Design,"{""Construction"": 0.6666666666666666, ""Economics"": 0.3333333333333333, ""Design"": 0.3333333333333333}"
64,Design; Process; Construction,"{""Design"": 0.6666666666666666, ""Process"": 0.3333333333333333, ""Construction"": 0.3333333333333333}"
65,Construction; Design; Process; Models & Methods; Professional Practice/Ethics,"{""Construction"": 0.6666666666666666, ""Design"": 0.6666666666666666, ""Process"": 0.3333333333333333, ""Models & Methods"": 0.3333333333333333, ""Professional Practice/Ethics"": 0.3333333333333333}"
66,Construction; Testing; Quality; Professional Practice/Ethics,"{""Construction"": 0.6, ""Testing"": 0.2, ""Quality"": 0.2, ""Professional Practice/Ethics"": 0.2}"
67,Foundations; Construction; Models & Methods; Design,"{""Foundations"": 0.25, ""Construction"": 0.75, ""Models & Methods"": 0.25, ""Design"": 0.25}"
68,Design; Construction; Foundations; Process,"{""Design"": 0.5, ""Construction"": 0.75, ""Foundations"": 0.5, ""Process"": 0.25}"
69,Design; Construction,"{""Design"": 0.1, ""Construction"": 0.4}"
70,Design; Construction; Process,"{""Design"": 0.3, ""Construction"": 0.3, ""Process"": 0.1}"
71,Construction; Requirements; Design,"{""Construction"": 0.25, ""Requirements"": 0.25, ""Design"": 0.5}"
72,Construction; Models & Methods; Design; Engineering Management; Quality; Professional Practice/Ethics; Testing,"{""Construction"": 0.2857142857142857, ""Models & Methods"": 0.42857142857142855, ""Design"": 0.14285714285714285, ""Engineering Management"": 0.14285714285714285, ""Quality"": 0.14285714285714285, ""Professional Practice/Ethics"": 0.14285714285714285, ""Testing"": 0.14285714285714285}"
73,Design; Construction; Models & Methods; Testing,"{""Design"": 0.4, ""Construction"": 0.8, ""Models & Methods"": 0.4, ""Testing"": 0.2}"
74,Construction; Design,"{""Construction"": 1.0, ""Design"": 0.3333333333333333}"
75,Design; Construction; Testing,"{""Design"": 0.2, ""Construction"": 0.4, ""Testing"": 0.2}"
76,Construction; Models & Methods; Design; Testing; Foundations,"{""Construction"": 0.6666666666666666, ""Models & Methods"": 0.5, ""Design"": 0.3333333333333333, ""Testing"": 0.16666666666666666, ""Foundations"": 0.16666666666666666}"
77,Design; Construction,"{""Design"": 0.14285714285714285, ""Construction"": 0.14285714285714285}"
78,Design; Construction; Requirements; Quality,"{""Design"": 0.3333333333333333, ""Construction"": 0.3333333333333333, ""Requirements"": 0.16666666666666666, ""Quality"": 0.16666666666666666}"
